"nivel","categoria","referencia","titulo","estado","fuente_oficial","url_canonica","url_pdf","aplicabilidad","notas","fecha_verificacion"
"Estatal","Marco constitucional","BOE-A-1978-31229","Constitución Española","vigente","BOE","https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229","https://www.boe.es/buscar/pdf/1978/BOE-A-1978-31229-consolidado.pdf","Autonomía universitaria, educación, libertad de cátedra, función pública y derechos fundamentales","Texto consolidado informativo; comprobar la publicación oficial para uso jurídico","2026-08-08"
"Estatal","Universidades","BOE-A-2023-7500","Ley Orgánica 2/2023, de 22 de marzo, del Sistema Universitario (LOSU)","vigente","BOE","https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500","https://www.boe.es/buscar/pdf/2023/BOE-A-2023-7500-consolidado.pdf","Norma básica central del sistema universitario, PDI, gobierno, docencia e investigación","Última reforma identificada en el BOE: LO 2/2024","2026-08-08"
"Estatal","Universidades - histórico","BOE-A-2001-24515","Ley Orgánica 6/2001, de 21 de diciembre, de Universidades (LOU)","derogada_con_efectos_transitorios","BOE","https://www.boe.es/buscar/act.php?id=BOE-A-2001-24515","https://www.boe.es/buscar/pdf/2001/BOE-A-2001-24515-consolidado.pdf","Necesaria para interpretar Estatutos y reglamentos UV anteriores a la LOSU","Derogada por la LOSU salvo previsiones transitorias o expresamente preservadas","2026-08-08"
"Estatal","Universidades - histórico","BOE-A-2007-7786","Ley Orgánica 4/2007, de 12 de abril, de modificación de la LOU","derogada_parcialmente","BOE","https://www.boe.es/buscar/act.php?id=BOE-A-2007-7786","https://www.boe.es/buscar/pdf/2007/BOE-A-2007-7786-consolidado.pdf","Antecedente citado por numerosos reglamentos UV","Derogada por la LOSU salvo sus disposiciones finales segunda y cuarta","2026-08-08"
"Estatal","Ciencia e investigación","BOE-A-2011-9617","Ley 14/2011, de 1 de junio, de la Ciencia, la Tecnología y la Innovación","vigente","BOE","https://www.boe.es/buscar/act.php?id=BOE-A-2011-9617","https://www.boe.es/buscar/pdf/2011/BOE-A-2011-9617-consolidado.pdf","Carrera investigadora, contratos, movilidad, transferencia, ciencia abierta y derechos sobre resultados","Incluye la reforma sustancial de la Ley 17/2022","2026-08-08"
"Estatal","Empleo público","BOE-A-2015-11719","Real Decreto Legislativo 5/2015, de 30 de octubre, texto refundido del Estatuto Básico del Empleado Público (TREBEP)","vigente","BOE","https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719","https://www.boe.es/buscar/pdf/2015/BOE-A-2015-11719-consolidado.pdf","Derechos, deberes, permisos, carrera, evaluación, negociación y disciplina del personal empleado público","Aplicación con las especialidades universitarias y autonómicas","2026-08-08"
"Estatal","Empleo laboral","BOE-A-2015-11430","Real Decreto Legislativo 2/2015, de 23 de octubre, texto refundido de la Ley del Estatuto de los Trabajadores","vigente","BOE","https://www.boe.es/buscar/act.php?id=BOE-A-2015-11430","https://www.boe.es/buscar/pdf/2015/BOE-A-2015-11430-consolidado.pdf","PDI y personal investigador laboral en lo no regulado por legislación especial o convenio","Aplicación supletoria o directa según la relación laboral","2026-08-08"
"Estatal","Libertad sindical","BOE-A-1985-16660","Ley Orgánica 11/1985, de 2 de agosto, de Libertad Sindical","vigente","BOE","https://www.boe.es/buscar/act.php?id=BOE-A-1985-16660","https://www.boe.es/buscar/pdf/1985/BOE-A-1985-16660-consolidado.pdf","Representación, actividad sindical y tutela de la libertad sindical","Norma transversal de relaciones colectivas","2026-08-08"
"Estatal","Incompatibilidades","BOE-A-1985-151","Ley 53/1984, de 26 de diciembre, de Incompatibilidades del personal al servicio de las Administraciones Públicas","vigente","BOE","https://www.boe.es/buscar/act.php?id=BOE-A-1985-151","https://www.boe.es/buscar/pdf/1985/BOE-A-1985-151-consolidado.pdf","Segundas actividades públicas o privadas, contratos, docencia externa y compatibilidad","Especialmente relevante antes de aceptar colaboraciones remuneradas","2026-08-08"
"Estatal","Incompatibilidades","BOE-A-1985-7820","Real Decreto 598/1985, de 30 de abril, sobre incompatibilidades del personal al servicio del sector público","vigente_parcial","BOE","https://www.boe.es/buscar/act.php?id=BOE-A-1985-7820","https://www.boe.es/buscar/pdf/1985/BOE-A-1985-7820-consolidado.pdf","Desarrollo reglamentario del régimen de incompatibilidades","Revisar su aplicación junto con la normativa autonómica y UV","2026-08-08"
