"categoria","referencia","titulo","url","estado","ruta_local","bytes","sha256","error","fecha_descarga"
"UV","DCV 128/2004; 45/2013; 86/2026","Estatutos de la Universitat de València, texto consolidado","https://www.uv.es/comunicacio/estatutos.pdf","ya_existia",".\documentos\unidades\UV\DCV_128_2004_45_2013_86_2026_Estatutos_de_la_Universitat_de_Valencia_texto_consolidado_9eaa13ac43.pdf","935264","d011bc878115443a403e053cb414a2c8bcd4daa118bb93170c7c8da26581064c","","2026-08-08T17:05:08+02:00"
"UV","ACGUV 4/2026","Reglamento de dedicación docente del PDI a tiempo completo","https://webges.uv.es/uvTaeWeb/DescargarAnuncio.do?codigo=ANUNCIO-R75-2026-1295","descargado",".\documentos\unidades\UV\ACGUV_4_2026_Reglamento_de_dedicacion_docente_del_PDI_a_tiempo_completo_8c73a42f8a.pdf","225971","7be55958fbc8b951b3ff66109bd77c15067683a897d078006f535c1685db97e8","","2026-08-08T17:05:08+02:00"
"UV","ACGUV 251/2025","Criterios para elaborar la oferta de enseñanzas oficiales de grado y máster 2026-2027","https://www.uv.es/sgeneral/Reglamentacio/Doc/Professorat/2025_251_Criteris_OCA_2026-27.pdf","ya_existia",".\documentos\unidades\UV\ACGUV_251_2025_Criterios_para_elaborar_la_oferta_de_ensenanzas_oficiales_de_grad_116f5fabd9.pdf","280601","13c21d30500eb457c6838ceaf8ce29218e9e156a477e81f13813d498c5da6b0a","","2026-08-08T17:05:08+02:00"
"UV","ACGUV 36/2026","Criterios para el desarrollo de la carrera docente del PDI 2026-2027","https://www.uv.es/pdi/privuni/PROM%2026-27/Criteris%20Desenvolupament%20Carrera%20Docent.pdf","error","","0","","Error en el servidor remoto: (401) No autorizado.","2026-08-08T17:05:09+02:00"
"ETSE","RRI ETSE 2014","Reglamento de régimen interno de la Escola Tècnica Superior d'Enginyeria","https://www.uv.es/etsedoc/otros/Reglament_regim_intern_2014%20modif%2021-11-14%20Aprobado%20CG.pdf","ya_existia",".\documentos\unidades\ETSE\RRI_ETSE_2014_Reglamento_de_regimen_interno_de_la_Escola_Tecnica_Superior_d_Eng_fc1242980d.pdf","396686","4460d13d5afe122870cc3f4b348f87511269a6d80af2c34841b3576d43a0c89a","","2026-08-08T17:05:09+02:00"
"ETSE","Directrices ETSE","Directrices de realización de exámenes en la ETSE","https://www.uv.es/etsedoc/otros/Directrius_examen.pdf","ya_existia",".\documentos\unidades\ETSE\Directrices_ETSE_Directrices_de_realizacion_de_examenes_en_la_ETSE_ba58d9a7b3.pdf","64361","b1fac5071329d433eab561107809a86794ed4949c3c71eba7b7e43a639867ece","","2026-08-08T17:05:09+02:00"
"ETSE","Normativa PE ETSE 10/02/2026","Normativa de prácticas externas de la ETSE","https://www.uv.es/etsedoc/practiques/NormativaPEETSE100226.pdf","ya_existia",".\documentos\unidades\ETSE\Normativa_PE_ETSE_10_02_2026_Normativa_de_practicas_externas_de_la_ETSE_dbb2069a8a.pdf","658391","b3189c2cd35a4c29b9f9e48e53b0e194f36c93c0b7361bb73f977abf2b13a634","","2026-08-08T17:05:09+02:00"
"ETSE","Manual SAIC ETSE","Manual del Sistema de Aseguramiento Interno de la Calidad de la ETSE","https://www.uv.es/etsedoc/Calidad/Manual%20del%20SAIC_JC.pdf","ya_existia",".\documentos\unidades\ETSE\Manual_SAIC_ETSE_Manual_del_Sistema_de_Aseguramiento_Interno_de_la_Calidad_de_la_E_5c143de850.pdf","6666792","8fa55f14bb6a7990e2f175974a49047b0bb91374b1ec696c669279169e7f6ad0","","2026-08-08T17:05:09+02:00"
"ETSE","Responsabilidades en seguridad ETSE","Documento de responsabilidades en materia de seguridad","https://www.uv.es/etsedoc/seguretat/depseguretat.pdf","ya_existia",".\documentos\unidades\ETSE\Responsabilidades_en_seguridad_ETSE_Documento_de_responsabilidades_en_materia_de_seguridad_8b591ea2db.pdf","610476","7647d36c757771a8f9d3179633d35416a5fa9ac242eb7834aee640d47456fc8f","","2026-08-08T17:05:09+02:00"
"ETSE","Guía plan de autoprotección ETSE","Guía del plan de autoprotección de la ETSE","https://www.uv.es/etsedoc/seguretat/Guia%20Plan%20autoprotecci%C3%B3n.pdf","ya_existia",".\documentos\unidades\ETSE\Guia_plan_de_autoproteccion_ETSE_Guia_del_plan_de_autoproteccion_de_la_ETSE_23d0558884.pdf","3431164","5526608fccbcfd5e051bfccce7a656421fd9414f38a0e3c9450e595393a6659f","","2026-08-08T17:05:09+02:00"
"ETSE","Normas SST marzo 2016","Normas de seguridad y salud en los lugares de trabajo","https://www.uv.es/etsedoc/seguretat/NORMAS%20SEGURIDAD%20Y%20SALUD%20EN%20LUGARES%20DE%20TRABAJO.marzo%202016.pdf","ya_existia",".\documentos\unidades\ETSE\Normas_SST_marzo_2016_Normas_de_seguridad_y_salud_en_los_lugares_de_trabajo_544e804c75.pdf","46368","90d61154984714d2be6cc298f52b000574b68fa30fbdf2e71d8bed1d2661a1e1","","2026-08-08T17:05:09+02:00"
"UV-ETSE","ACGUV 206/2024","Reglamento de trabajos de fin de grado y de fin de máster de la Universitat de València","https://www.uv.es/convenisestud/TFG-TFM/Reglamento_TFG-TFM-2024.pdf","ya_existia",".\documentos\unidades\UV-ETSE\ACGUV_206_2024_Reglamento_de_trabajos_de_fin_de_grado_y_de_fin_de_master_de_la_U_405a1c0543.pdf","3933111","0c0361c16eda2a705fc538358514af3c7b160f7835e00bbf1fae320d0f6ce9eb","","2026-08-08T17:05:09+02:00"
"ETSE","Calendario TFM ETSE 2026","Calendario de procesos de TFM de la ETSE 2026","https://www.uv.es/etsedoc/Masteres/TFM/CALENDARIO%20DE%20PROCESOS%20DE%20TFM%20DE%20LA%20ETSE_2026_val.pdf","ya_existia",".\documentos\unidades\ETSE\Calendario_TFM_ETSE_2026_Calendario_de_procesos_de_TFM_de_la_ETSE_2026_8b5714b96d.pdf","112919","4dd97485c31ed7fb0cca2a12483e09ee6f2a5a1e79e18bf510ab4be1cd94a9ec","","2026-08-08T17:05:09+02:00"
"ETSE","Instrucciones TFM confidenciales","Instrucciones para TFM sujetos a confidencialidad","https://www.uv.es/etsedoc/TFM/instruccionsTFMconfidencialesVAL.pdf","ya_existia",".\documentos\unidades\ETSE\Instrucciones_TFM_confidenciales_Instrucciones_para_TFM_sujetos_a_confidencialidad_56f3bd88e6.pdf","441565","f7e4c3fa252ef9ee7f23c5514fef993880e66727ebf4bd92ea6bfedd2af319a1","","2026-08-08T17:05:09+02:00"
"UV-ETSE","Anexo I ACGUV 206/2024","Acuerdo de confidencialidad para TFG/TFM","https://www.uv.es/convenisestud/TFG-TFM/Annex-I-autorellenable.pdf","ya_existia",".\documentos\unidades\UV-ETSE\Anexo_I_ACGUV_206_2024_Acuerdo_de_confidencialidad_para_TFG_TFM_59c217e1e0.pdf","80483","fe8aaec6da3efa667756a929e940e8e9e2edb32dbe3dc7b0552fd93444d82cb9","","2026-08-08T17:05:09+02:00"
"UV-ETSE","Anexo II ACGUV 206/2024","Compromiso de confidencialidad de miembros del tribunal","https://www.uv.es/convenisestud/TFG-TFM/Annex-II-autorellenable.pdf","ya_existia",".\documentos\unidades\UV-ETSE\Anexo_II_ACGUV_206_2024_Compromiso_de_confidencialidad_de_miembros_del_tribunal_6fe907f118.pdf","198372","3b021fa033fcdd0f71aab7bef2ee421676bff2ad981abcd377e20056acca918d","","2026-08-08T17:05:09+02:00"
"UV-ETSE","Anexo III ACGUV 206/2024","Solicitud de defensa no pública de TFG/TFM","https://www.uv.es/convenisestud/TFG-TFM/Annex-III-autorellenable.pdf","ya_existia",".\documentos\unidades\UV-ETSE\Anexo_III_ACGUV_206_2024_Solicitud_de_defensa_no_publica_de_TFG_TFM_f2a8b71c14.pdf","209972","7a9111d3ec99486ce0cbe334a85197a294151dd98858d4e466d7840789b27e2d","","2026-08-08T17:05:09+02:00"
"Departamento de Ingeniería Electrónica","RRI DIE","Reglamento de régimen interno del Departamento de Ingeniería Electrónica","https://www.uv.es/dieweb/Reglamento_Regimen_Interno.pdf","ya_existia",".\documentos\unidades\Departamento_de_Ingenieria_Electronica\RRI_DIE_Reglamento_de_regimen_interno_del_Departamento_de_Ingenieria_Elec_c046814935.pdf","448524","75d7f97fb424368036959ef85e075f724a0c2db6fae382825f9c42f755caf276","","2026-08-08T17:05:09+02:00"
"ICMUV","ACGUV 131/2008","Reglamento de régimen interno del Institut de Ciència dels Materials","https://www.uv.es/sgeneral/Reglamentacio/Doc/Regl_Reg_Intern_Instituts/ICMUV.pdf","ya_existia",".\documentos\unidades\ICMUV\ACGUV_131_2008_Reglamento_de_regimen_interno_del_Institut_de_Ciencia_dels_Materi_012023583a.pdf","244294","7e4c37bc16906254f3df202620dd48f7a16ef6aaaa40da89b9ddbb4e136cf14b","","2026-08-08T17:05:09+02:00"
