"nivel","categoria","referencia","titulo","estado","fuente_oficial","url_canonica","url_pdf","aplicabilidad","notas","fecha_verificacion"
"UV","organizacion","DCV 128/2004; 45/2013; 86/2026","Estatutos de la Universitat de València, texto consolidado","vigente_con_modificaciones","Universitat de València","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/estatutos-uv/estatutos-universidad-valencia/descargas-1285878151774.html","https://www.uv.es/comunicacio/estatutos.pdf","Gobierno, estructura, derechos y deberes de toda la comunidad universitaria","Texto consolidado informativo; prevalecen las publicaciones del DOGV","2026-08-08"
"UV","docencia_PDI","ACGUV 4/2026","Reglamento de dedicación docente del PDI a tiempo completo","vigente","Universitat de València","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=94719","https://webges.uv.es/uvTaeWeb/DescargarAnuncio.do?codigo=ANUNCIO-R75-2026-1295","Dedicación docente, reducciones y cómputo del PDI a tiempo completo","El adjunto se sirve mediante el tablón electrónico dinámico de la UV; se conserva también la URL canónica del edicto","2026-08-08"
"UV","docencia_PDI","ACGUV 251/2025","Criterios para elaborar la oferta de enseñanzas oficiales de grado y máster 2026-2027","vigente_curso_2026_2027","Universitat de València","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/pdi/profesorado-1285894336036.html","https://www.uv.es/sgeneral/Reglamentacio/Doc/Professorat/2025_251_Criteris_OCA_2026-27.pdf","Planificación de la oferta docente anual","Debe sustituirse por el acuerdo del curso siguiente cuando se publique","2026-08-08"
"UV","carrera_PDI","ACGUV 36/2026","Criterios para el desarrollo de la carrera docente del PDI 2026-2027","vigente_curso_2026_2027_acceso_restringido","Universitat de València","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/pdi/profesorado-1285894336036.html","https://www.uv.es/pdi/privuni/PROM%2026-27/Criteris%20Desenvolupament%20Carrera%20Docent.pdf","Promoción y carrera docente","El PDF devuelve 401 fuera de una sesión UV autorizada","2026-08-08"
"ETSE","organizacion","RRI ETSE 2014","Reglamento de régimen interno de la Escola Tècnica Superior d'Enginyeria","vigencia_por_confirmar","ETSE-UV","https://www.uv.es/uvweb/enginyeria/ca/escola/normatives-1285845343814.html","https://www.uv.es/etsedoc/otros/Reglament_regim_intern_2014%20modif%2021-11-14%20Aprobado%20CG.pdf","Órganos, comisiones, elecciones y funcionamiento del centro","La web oficial lo sigue publicando; conviene confirmar su adaptación completa a LOSU y Estatutos 2026","2026-08-08"
"ETSE","evaluacion","Directrices ETSE","Directrices de realización de exámenes en la ETSE","publicado_sin_fecha_de_vigencia_visible","ETSE-UV","https://www.uv.es/uvweb/enginyeria/ca/escola/normatives-1285845343814.html","https://www.uv.es/etsedoc/otros/Directrius_examen.pdf","Organización material de pruebas de evaluación en la ETSE","Aplicar junto con la normativa general de evaluación de la UV","2026-08-08"
"ETSE","practicas_externas","Normativa PE ETSE 10/02/2026","Normativa de prácticas externas de la ETSE","vigente_publicada_2026","ETSE-UV","https://www.uv.es/uvweb/enginyeria/ca/escola/normatives-1285845343814.html","https://www.uv.es/etsedoc/practiques/NormativaPEETSE100226.pdf","Prácticas externas de grados y másteres de la ETSE","Norma específica del centro, subordinada a la normativa general UV y estatal","2026-08-08"
"ETSE","calidad","Manual SAIC ETSE","Manual del Sistema de Aseguramiento Interno de la Calidad de la ETSE","publicado_vigencia_por_confirmar","ETSE-UV","https://www.uv.es/uvweb/enginyeria/ca/escola/normatives-1285845343814.html","https://www.uv.es/etsedoc/Calidad/Manual%20del%20SAIC_JC.pdf","Procesos de calidad, seguimiento y responsabilidades del centro","Comprobar versión y fecha antes de usarlo como procedimiento operativo","2026-08-08"
"ETSE","seguridad","Responsabilidades en seguridad ETSE","Documento de responsabilidades en materia de seguridad","publicado_vigencia_por_confirmar","ETSE-UV","https://www.uv.es/uvweb/enginyeria/ca/escola/normatives-1285845343814.html","https://www.uv.es/etsedoc/seguretat/depseguretat.pdf","Responsabilidades de seguridad en centro, departamentos y laboratorios","Aplicar junto con la Ley de prevención y el plan de autoprotección vigente","2026-08-08"
"ETSE","seguridad","Guía plan de autoprotección ETSE","Guía del plan de autoprotección de la ETSE","publicado_vigencia_por_confirmar","ETSE-UV","https://www.uv.es/uvweb/enginyeria/ca/escola/normatives-1285845343814.html","https://www.uv.es/etsedoc/seguretat/Guia%20Plan%20autoprotecci%C3%B3n.pdf","Emergencias y autoprotección en las instalaciones","La versión operativa debe contrastarse con señalización e instrucciones internas actuales","2026-08-08"
