"ambito","categoria","referencia","titulo","etiqueta_documento","url_documento","url_catalogo","fecha_consulta"
"UV","adm-electronica","ACGUV 13/2014","Política de seguretat de la informació en la utilització de mitjans electrònics de la Universitat de València. (CG 21-I-2014. Modificat CG 18-II-2019. Modificat CG 3-X-2023. Modificat CG 7-X-2025)","Text","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=87397","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/adm-electronica/administracion-electronica-1285868559185.html","2026-08-08"
"UV","adm-electronica","ACGUV 227/2014","Reglament de seguretat de la informació en la utilització de mitjans electrònics de la Universitat de València. (CG 22-XII-2014. Modificat CG 1-VI-2021. Modificat CG 3-X-2023. Modificat 7-X-2025)","Text","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=87389","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/adm-electronica/administracion-electronica-1285868559185.html","2026-08-08"
"UV","adm-electronica","ACGUV 235/2016","Reglament d'ús dels recursos relacionats amb les tecnologies de la informació i les comunicacions de la Universitat de València. (CG 26-VII-2016. Modificat CG 4-II-2020. Modificat CG 1-VI-2021. Modificat 7-X-2025).","Text","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=87391","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/adm-electronica/administracion-electronica-1285868559185.html","2026-08-08"
"UV","adm-electronica","ACGUV 68/2006","Pla d'accessibilitat electrònica de la Universitat de València. (CG 14-III-2006).","Text","http://www.uv.es/sgeneral/Reglamentacio/Doc/Adm_Electronica/Y13.pdf","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/adm-electronica/administracion-electronica-1285868559185.html","2026-08-08"
"UV","adm-electronica","ACGUV 80/2012","Reglament de funcionament de la bústia de suggeriments, queixes i felicitacions. (CG 26-IV-2012)","Text","http://www.uv.es/sgeneral/Reglamentacio/Doc/Adm_Electronica/Y4.pdf","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/adm-electronica/administracion-electronica-1285868559185.html","2026-08-08"
"UV","adm-electronica","ACGUV 91/2020","Reglament d'Administració Electrònica de la Universitat de València. (CG 23-VI-2020).","Text","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=23339","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/adm-electronica/administracion-electronica-1285868559185.html","2026-08-08"
"UV","adm-electronica","ACGUV 91/2020","Reglament d'Administració Electrònica de la Universitat de València. (CG 23-VI-2020).","Publicació DOGV","https://www.uv.es/sgeneral/Reglamentacio/Doc/Adm_Electronica/2020_091_DOGV.pdf","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/adm-electronica/administracion-electronica-1285868559185.html","2026-08-08"
"UV","adm-electronica","ACGUV 92/2020","Reglament de Registre Electrònic General de la Universitat de València. (CG 23-VI-2020).","Text","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=23358","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/adm-electronica/administracion-electronica-1285868559185.html","2026-08-08"
"UV","adm-electronica","ACGUV 92/2020","Reglament de Registre Electrònic General de la Universitat de València. (CG 23-VI-2020).","Publicació DOGV","https://www.uv.es/sgeneral/Reglamentacio/Doc/Adm_Electronica/2020_092_DOGV.pdf","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/adm-electronica/administracion-electronica-1285868559185.html","2026-08-08"
"UV","adm-electronica","RD 203/2021","Real Decreto 203/2021, de 30 de marzo, por el que se aprueba el Reglamento de actuación y funcionamiento del sector público por medios electrónicos.","RD 203/2021 (Texto consolidado)","https://www.boe.es/buscar/act.php?id=BOE-A-2021-5032","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/adm-electronica/administracion-electronica-1285868559185.html","2026-08-08"
"UV","adm-electronica","RSG 05 07 2012","Resolució de 5 de juliol de 2012, de la secretària general de la Universitat de València, per la qual s'autoritza la inclusió de determinats procediments electrònics en la Seu Electrònica.","Text","http://www.uv.es/sgeneral/Reglamentacio/Doc/Adm_Electronica/Y6.pdf","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/adm-electronica/administracion-electronica-1285868559185.html","2026-08-08"
"UV","adm-electronica","RSG 06/05/2022","Resolución de 6 de mayo de 2022 de la Secretaria General de la Universitat de València, por la que se crea y regula el registro de funcionariado habilitado en el ámbito de la Universitat.","Anexos","https://www.uv.es/sgeneral/Reglamentacio/Doc/Adm_Electronica/Anexos.pdf","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/adm-electronica/administracion-electronica-1285868559185.html","2026-08-08"
